"Control","UI Location","Hidden?","Designed Effect","How to Test (summary)","Verification Status","Evidence","Source"
"Humanize Amount","Drum Builder / Performance controls","No","Scale micro-timing variance","Increase, generate, check microTimingMs distribution widens but stays within limits","Verified","frontend/test-results/ui-control-validation/v3_ui_humanize_amount_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Ghost Note Amount","Drum Builder / Performance controls","No","Scale ghost note density","Increase, generate, confirm ghost count increases and velocities remain low","Verified","frontend/test-results/ui-control-validation/v3_ui_ghost_note_amount_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Rudiments Hand Lead (section override)","V3 Section Inspector > Rudiments (override)","Yes (until override enabled)","Override rudiment sticking lead hand","Enable rudiments override, change Hand Lead, generate, confirm payload.rudimentControls.handLead changes","Verified","frontend/test-results/ui-control-validation/v3_ui_rudiments_hand_lead_section_override_affects_generate_payload/evidence.json","V3SectionInspector.tsx"
"Groove Use (section override)","V3 Section Inspector > Groove (override)","Yes (until override enabled)","Override how selected groove is applied","Enable groove override, toggle Groove Use, generate, confirm payload.grooveUse changes","Verified","frontend/test-results/ui-control-validation/v3_ui_groove_use_section_override_affects_generate_payload/evidence.json","V3SectionInspector.tsx"
"Swing Amount","Drum Builder / Performance controls","No","Apply swing feel","Increase, generate, confirm offbeat timing shifts consistently","Verified","frontend/test-results/ui-control-validation/v3_ui_swing_amount_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Build Scope","Drum Builder / Toolbar","No","Full song vs selected section","Toggle, generate, confirm only target region changes and locks respected","Verified","frontend/test-results/ui-control-validation/v3_ui_build_scope_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Guide Enabled","Drum Builder / Guide controls","Sometimes","Use guide track influence","Enable, generate, verify kick aligns with guide energy/accent without glitches","Verified","frontend/test-results/ui-control-validation/v3_ui_guide_enabled_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Guide Instrument","Drum Builder / Guide controls","Yes (when Guide disabled)","Choose guide source","Enable guide, change instrument, generate, verify different influence","Verified","frontend/test-results/ui-control-validation/v3_ui_guide_instrument_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Transport: Follow playhead","V3 Transport","No","Auto-scroll timelines to keep playhead in view","Toggle Follow playhead and verify transport state changes","Verified","frontend/test-results/ui-control-validation/v3_ui_transport_follow_playhead_toggle_updates_state/evidence.json","WebDAWAppV3.tsx"
"Transport: Click","V3 Transport","No","Enable click track during playback","Toggle Click and verify transport state changes","Verified","frontend/test-results/ui-control-validation/v3_ui_transport_click_toggle_updates_state/evidence.json","WebDAWAppV3.tsx"
"Transport: Zoom","V3 Transport","No","Zoom timeline horizontally","Click zoom in/out/reset and verify pixelsPerBeat changes","Verified","frontend/test-results/ui-control-validation/v3_ui_transport_zoom_controls_update_state/evidence.json","WebDAWAppV3.tsx"
"Transport: Return to Start","V3 Transport","No","Stop and return playhead to 0","Click Return to Start and verify playheadSec resets","Verified","frontend/test-results/ui-control-validation/v3_ui_transport_return_to_start_resets_playhead/evidence.json","WebDAWAppV3.tsx"
"Bar Edits: Add Note","V3 Section Inspector > Bar Tools","Yes (until Per bar selected)","Add a note to the selected bar edit layer","Select section + Per bar scope, click Add note, generate, confirm payload.barEdits has addedNotes","Verified","frontend/test-results/ui-control-validation/v3_ui_bar_edits_add_note_affects_generate_payload/evidence.json","V3SectionInspector.tsx"
"Bar Edits: Nudge Note","V3 Section Inspector > Bar Tools","Yes (until Per bar selected)","Move a note within the bar","Add note then click + nudge, generate, confirm payload.barEdits.tickDeltaByNoteId includes note id","Verified","frontend/test-results/ui-control-validation/v3_ui_bar_edits_nudge_note_affects_generate_payload/evidence.json","V3SectionInspector.tsx"
"Bar Edits: Delete Note","V3 Section Inspector > Bar Tools","Yes (until Per bar selected)","Delete a note in the bar edit layer","Add note then delete, generate, confirm payload.barEdits.deletedNoteIds contains note id","Verified","frontend/test-results/ui-control-validation/v3_ui_bar_edits_delete_note_affects_generate_payload/evidence.json","V3SectionInspector.tsx"
"Velocity (Volume) > Drums","Drum Options Panel > Velocity (Volume)","No","Master volume for kick/snare/toms","Raise/lower, apply/generate, verify drum velocities scale without clipping","Verified","frontend/test-results/ui-control-validation/drum_options_panel_velocity_volume_drums_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Velocity (Volume) > Cymbals","Drum Options Panel > Velocity (Volume)","No","Master volume for hats/crash/ride","Raise/lower, verify cymbal velocities scale","Verified","frontend/test-results/ui-control-validation/drum_options_panel_velocity_volume_cymbals_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Velocity (Volume) > Kick","Drum Options Panel > Velocity (Volume) details","Yes (collapsed by default)","Kick velocity scaling","Change Kick, verify only kick velocity changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_velocity_volume_kick_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Velocity (Volume) > Snare","Drum Options Panel > Velocity (Volume) details","Yes (collapsed by default)","Snare velocity scaling","Change Snare, verify only snare velocity changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_velocity_volume_snare_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Instrument Density (Complexity) > Drums","Drum Options Panel > Instrument Density (Complexity)","No","How busy drums are","Increase, verify drum note count increases but stays musical","Verified","frontend/test-results/ui-control-validation/drum_options_panel_instrument_density_complexity_drums_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Instrument Density (Complexity) > Cymbals","Drum Options Panel > Instrument Density (Complexity)","No","How busy cymbals are","Increase, verify cymbal note count increases","Verified","frontend/test-results/ui-control-validation/drum_options_panel_instrument_density_complexity_cymbals_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Individual Cymbal Density > Hi-Hat","Drum Options Panel > Instrument Density details","Yes (collapsed by default)","Hi-hat density scaling","Change Hi-Hat density, verify only hi-hat lane density changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_individual_cymbal_density_hi_hat_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Individual Cymbal Density > Ride","Drum Options Panel > Instrument Density details","Yes (collapsed by default)","Ride density scaling","Change Ride density, verify only ride lane density changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_individual_cymbal_density_ride_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Individual Cymbal Density > Crash","Drum Options Panel > Instrument Density details","Yes (collapsed by default)","Crash density scaling","Change Crash density, verify only crash lane density changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_individual_cymbal_density_crash_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Fill Options > Fill Type","Drum Options Panel > Fill Options","No","Fill type preset","Change type, verify fill instrumentation changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_fill_type_affects_generate_payload/evidence.json","DrumOptionsPanel.tsx"
"Fill Options > Fill Density","Drum Options Panel > Fill Options","No","Fill complexity","Increase, verify fill note density increases without absurd bursts","Verified","frontend/test-results/ui-control-validation/drum_options_panel_fill_density_affects_generate_payload/evidence.json","DrumOptionsPanel.tsx"
"Fill Options > Fill Location","Drum Options Panel > Fill Options","No","Fill placement in measure","Change location, verify fill notes move accordingly","Verified","frontend/test-results/ui-control-validation/drum_options_panel_fill_options_fill_location_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Fill Options > Fill Frequency","Drum Options Panel > Fill Options","No","How often fills occur","Change, verify fills at expected periodicity","Verified","frontend/test-results/ui-control-validation/drum_options_panel_fill_options_fill_frequency_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Groove Options > Swing Preset","Drum Options Panel > Groove Options","No","Coarse swing preset","Change, verify timing feel changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_groove_options_swing_preset_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Groove Options > Fine Swing Amount","Drum Options Panel > Groove Options","No","Fine swing adjustment","Change, verify incremental timing shifts","Verified","frontend/test-results/ui-control-validation/drum_options_panel_fine_swing_amount_affects_generate_payload/evidence.json","DrumOptionsPanel.tsx"
"Groove Options > Velocity Pattern","Drum Options Panel > Groove Options","No","Accent/velocity pattern","Change, verify velocity distribution changes predictably","Verified","frontend/test-results/ui-control-validation/drum_options_panel_groove_options_velocity_pattern_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Hi-Hat Articulation > Presets","Drum Options Panel > Hi-Hat Articulation","No","Set hat pattern/open ratio/complexity","Click preset, verify hat articulation distribution changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_hi_hat_articulation_presets_update_state/evidence.json","DrumOptionsPanel.tsx"
"Hi-Hat Complexity","Drum Options Panel > Hi-Hat Articulation","No","Adds embellishments","Increase, verify more hat subdivisions without timing errors","Verified","frontend/test-results/ui-control-validation/drum_options_panel_hi_hat_complexity_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Hi-Hat Pattern","Drum Options Panel > Hi-Hat Articulation","No","Select hat sticking logic","Change pattern, verify phrasing changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_hi_hat_pattern_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Hi-Hat Open Ratio","Drum Options Panel > Hi-Hat Articulation","No","Closed vs open mix","Increase, verify more open hat articulations","Verified","frontend/test-results/ui-control-validation/drum_options_panel_hi_hat_open_ratio_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Hi-Hat Ghost Notes","Drum Options Panel > Hi-Hat Articulation","No","Feathered strokes","Increase, verify low-velocity hat notes appear between pulses","Verified","frontend/test-results/ui-control-validation/drum_options_panel_hi_hat_ghost_notes_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Ride Cymbal Dynamics > Presets","Drum Options Panel > Ride Cymbal Dynamics","No","Set ride pattern/bell/mix","Click preset, verify ride/bell usage changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_ride_cymbal_dynamics_presets_update_state/evidence.json","DrumOptionsPanel.tsx"
"Ride Complexity","Drum Options Panel > Ride Cymbal Dynamics","No","Syncopation/skip beats","Increase, verify more ride activity without chaos","Verified","frontend/test-results/ui-control-validation/drum_options_panel_ride_complexity_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Ride Pattern","Drum Options Panel > Ride Cymbal Dynamics","No","Ride phrasing style","Change, verify ride phrasing changes","Verified","frontend/test-results/ui-control-validation/drum_options_panel_ride_pattern_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Ride vs Hat","Drum Options Panel > Ride Cymbal Dynamics","No","Crossfade ride vs hat timekeeping","Increase, verify ride replaces hat progressively","Verified","frontend/test-results/ui-control-validation/drum_options_panel_ride_vs_hat_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Bell Ratio","Drum Options Panel > Ride Cymbal Dynamics","No","Bell vs bow strikes","Increase, verify more bell articulations","Verified","frontend/test-results/ui-control-validation/drum_options_panel_bell_ratio_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Low-End Lock > Bass Line Mode","Drum Options Panel > Low-End Lock","No","Kick-bass relationship mode","Change, verify kick aligns/complements bass differently","Verified","frontend/test-results/ui-control-validation/drum_options_panel_low_end_lock_bass_line_mode_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Low-End Lock > Kick-Bass Sync","Drum Options Panel > Low-End Lock","No","Strength of kick locking to bass accents","Increase, verify more kick hits coincide with bass accents","Verified","frontend/test-results/ui-control-validation/drum_options_panel_low_end_lock_kick_bass_sync_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Low-End Lock > Lock Kick to Bass Downbeats","Drum Options Panel > Low-End Lock","No","Force downbeat alignment","Enable, verify downbeat kick consistency","Verified","frontend/test-results/ui-control-validation/drum_options_panel_low_end_lock_lock_kick_to_bass_downbeats_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Additional Controls > Tom Usage","Drum Options Panel > Additional Controls","No","Tom frequency","Increase, verify more tom notes, no instrument errors","Verified","frontend/test-results/ui-control-validation/drum_options_panel_additional_controls_tom_usage_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Additional Controls > Crash Frequency","Drum Options Panel > Additional Controls","No","Crash usage","Increase, verify more crashes at transitions","Verified","frontend/test-results/ui-control-validation/drum_options_panel_additional_controls_crash_frequency_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Additional Controls > Ghost Note Density","Drum Options Panel > Additional Controls","No","Ghost note density","Increase, verify more ghost notes w/ low velocity","Verified","frontend/test-results/ui-control-validation/drum_options_panel_ghost_note_density_affects_generate_payload/evidence.json","DrumOptionsPanel.tsx"
"Additional Controls > Dynamic Range","Drum Options Panel > Additional Controls","No","Soft vs loud contrast","Increase, verify velocity range widens without clipping","Verified","frontend/test-results/ui-control-validation/drum_options_panel_additional_controls_dynamic_range_updates_state/evidence.json","DrumOptionsPanel.tsx"
"Drum Performance Editor > View filter (ALL/GROOVE/ACCENT/FILL)","Drum Performance Editor toolbar","No","Filter visible notes by aspect","Toggle filters, confirm only matching aspects shown","Verified","frontend/test-results/ui-control-validation/drum_performance_editor_view_filter_all_groove_accent_fill_updates_state/evidence.json","error-context snapshots / UI"
"Drum Performance Editor > Grid resolution (16th/32nd/64th)","Drum Performance Editor toolbar","No","Change quantization grid for editing","Switch, confirm snapping and grid lines change","Verified","frontend/test-results/ui-control-validation/drum_performance_editor_grid_resolution_16th_32nd_64th_updates_state/evidence.json","error-context snapshots / UI"
"Note Inspector > Velocity","Note Inspector panel","No","Adjust selected note velocities","Edit value, confirm only selected notes’ velocities change","Verified","frontend/test-results/ui-control-validation/note_inspector_velocity_updates_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"Note Inspector > Timing Offset","Note Inspector panel","No","Adjust per-note timing","Edit, confirm micro timing changes without breaking order","Verified","frontend/test-results/ui-control-validation/note_inspector_timing_offset_updates_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"Note Inspector > Hat Open Level","Note Inspector panel","Contextual","Adjust hat openness","Change, confirm articulation/CC mapping updates","Verified","frontend/test-results/ui-control-validation/note_inspector_hat_open_level_updates_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"Note Inspector > Limb","Note Inspector panel","No","Assign limbId","Change, confirm limbId changes only","Verified","frontend/test-results/ui-control-validation/note_inspector_limb_updates_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"Note Inspector > Hit Style","Note Inspector panel","No","Single/double/bounce etc.","Change, confirm hitStyle changes only","Verified","frontend/test-results/ui-control-validation/note_inspector_hit_style_updates_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"Note Inspector > Lock","Note Inspector panel","No","Prevent regeneration overwriting","Lock, regenerate, verify locked notes/section preserved","Verified","frontend/test-results/ui-control-validation/note_inspector_lock_updates_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"Note Inspector > Flags (ghost/accent/flam/drag)","Note Inspector panel","No","Toggle flags","Toggle, confirm flag changes and UI reflects it","Verified","frontend/test-results/ui-control-validation/note_inspector_flags_ghost_accent_flam_drag_update_selected_note/evidence.json","INTEGRATION_READY_CHECKLIST.md"
"DCSM Drum Editor > Generate Groove","DCSM DAW > Drum Editor panel header","No","Calls `/dcsm/generate` and populates the drums clip","Click, wait for notes to appear in DrumGrid and for no console/network errors","Verified","frontend/test-results/ui-control-validation/dcsm_drum_editor_generate_groove/evidence.json","USER_MANUAL.md"
"DrumGrid > Select notes","DCSM DAW > DrumGrid canvas","No","Select single/multi notes for editing","Click/drag select, confirm selection count + inspector appears","Verified","frontend/test-results/ui-control-validation/drumgrid_select_notes/evidence.json","USER_MANUAL.md"
"DrumGrid > Move notes","DCSM DAW > DrumGrid canvas","No","Move notes in time or change lane","Drag, confirm tick/lane changes only (no unintended deletions)","Verified","frontend/test-results/ui-control-validation/drumgrid_move_notes/evidence.json","USER_MANUAL.md"
"DrumGrid > Resize notes","DCSM DAW > DrumGrid canvas","No","Change note duration","Drag edges, confirm `t1-t0` changes only","Verified","frontend/test-results/ui-control-validation/drumgrid_resize_notes/evidence.json","USER_MANUAL.md"
"DrumGrid > Velocity lane visibility","Legacy DrumGrid editor","No","Toggle velocity lane render","Toggle show/hide velocity lane; confirm lane appears/disappears without affecting notes","Not yet","","frontend/src/midi/ui/DrumGrid.tsx"
"DrumGrid > Quantization setting","Legacy DrumGrid editor","No","Set note quantization grid","Change quantization, add notes, verify start ticks snap accordingly","Not yet","","frontend/src/midi/ui/DrumGrid.tsx"
"Drum Performance Editor > View filter (ALL/GROOVE/ACCENT/FILL)","Drum Performance Editor toolbar","No","Filter visible notes by aspect","Toggle, confirm only matching aspects shown","Not yet","","frontend/src/components/drums/DrumEditorPane.tsx"
"Drum Performance Editor > Grid resolution (16th/32nd/64th)","Drum Performance Editor toolbar","No","Set edit snap grid","Switch, confirm snapping/grid lines change","Not yet","","frontend/src/components/drums/DrumEditorPane.tsx"
"Note Inspector > Nudge earlier/later (grid step)","Note Inspector panel","Yes (requires gridResolution + handler)","Move selected notes by one grid step","Click +/- buttons, confirm ticks shift by expected step","Verified","frontend/test-results/ui-control-validation/note_inspector_nudge_earlier_later_grid_step_updates_selected_note/evidence.json","frontend/src/components/drums/NoteInspector.tsx"
"Note Inspector > Priority","Note Inspector panel","No","Adjust conflict resolution priority","Change slider, confirm `priority` updates only","Verified","frontend/test-results/ui-control-validation/note_inspector_priority_updates_selected_note/evidence.json","frontend/src/components/drums/NoteInspector.tsx"
"Note Inspector > Timing Offset (ms)","Note Inspector panel","No","Adjust per-note micro timing","Change, confirm `timingOffsetMs` updates only","Not yet","","frontend/src/components/drums/NoteInspector.tsx"
"Note Inspector > Close (×)","Note Inspector panel header","No","Close inspector UI","Click ×, confirm inspector hides but selection clears only","Not yet","","frontend/src/components/drums/NoteInspector.tsx"
"Re-Humanize > Preset buttons","Re-Humanize panel","No","Apply preset feel parameters","Click preset, Apply, confirm microtiming/velocity distribution changes","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Micro-Timing slider","Re-Humanize panel","No","Scale micro-timing randomness","Adjust, Apply, confirm `microTimingMs` deltas scale","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Feel (Tight/Loose) slider","Re-Humanize panel","No","Push/pull feel around beat","Adjust, Apply, confirm timing bias shifts","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Velocity Variation slider","Re-Humanize panel","No","Scale velocity variance","Adjust, Apply, confirm velocity variance changes","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Swing slider","Re-Humanize panel","No","Apply swing feel client-side","Adjust, Apply, confirm offbeats shift","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Ghost Note Density slider","Re-Humanize panel","No","Add/scale ghost note density client-side","Adjust, Apply, confirm ghost notes/flags/vels change as designed","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Show/Hide Groove Controls","Re-Humanize panel","No","Toggle advanced groove controls UI","Toggle, confirm LaidBack/Pocket controls appear/disappear","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Groove: Laid Back / Pushed","Re-Humanize panel (advanced)","Yes (collapsed by default)","Bias timing later/earlier","Adjust, Apply, confirm consistent timing bias","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Groove: Pocket Depth","Re-Humanize panel (advanced)","Yes (collapsed by default)","Increase groove depth effect","Adjust, Apply, confirm stronger groove timing/velocity shaping","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Apply","Re-Humanize panel","No","Apply changes to selection or whole track","Click, confirm track updates immediately and no network call occurs","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Re-Humanize > Reset","Re-Humanize panel","No","Restore original track snapshot","Click, confirm prior track state restored","Not yet","","frontend/src/components/RehumanizePanel.tsx"
"Musical Arrangement > Expand/Collapse","Musical Arrangement panel header","No","Show/hide section list","Click chevron area, confirm panel expands/collapses","Verified","frontend/test-results/ui-control-validation/ui_musical_arrangement_expand_collapse_toggles_panel/evidence.json","frontend/src/components/SectionControls.tsx"
"Musical Arrangement > Add Section","Musical Arrangement panel","No","Create new manual section at playhead","Click, confirm new section inserted and selectable","Verified","frontend/test-results/ui-control-validation/ui_timeline_add_section_creates_a_section/evidence.json","frontend/src/components/SectionControls.tsx"
"Musical Arrangement > Select Section","Musical Arrangement panel list","No","Set current/active section in UI","Click section row, confirm selection highlight changes","Verified","frontend/test-results/ui-control-validation/musical_arrangement_select_section/evidence.json","frontend/src/components/SectionControls.tsx"
"Musical Arrangement > Rename Section","Musical Arrangement panel list","No","Rename section label","Click ✏️, edit, Enter/blur, confirm label updates","Verified","frontend/test-results/ui-control-validation/musical_arrangement_rename_section/evidence.json","frontend/src/components/SectionControls.tsx"
"Musical Arrangement > Delete Section","Musical Arrangement panel list","No","Remove a section from arrangement","Click 🗑️, confirm prompt, verify section removed (not last section)","Verified","frontend/test-results/ui-control-validation/musical_arrangement_delete_section/evidence.json","frontend/src/components/SectionControls.tsx"
"Manual Arrangement Entry > Global Tempo (BPM)","Manual Arrangement Entry modal","No","Set global tempo for manual arrangement","Change value, Apply Arrangement, confirm tempo propagates","Verified","frontend/test-results/ui-control-validation/manual_arrangement_global_tempo_bpm_input_edits_value/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Time Signature (numerator)","Manual Arrangement Entry modal","No","Set beats per bar","Change, Apply Arrangement, confirm time signature changes","Verified","frontend/test-results/ui-control-validation/manual_arrangement_time_signature_edits_beats_unit/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Time Signature (denominator)","Manual Arrangement Entry modal","No","Set beat unit","Change, Apply Arrangement, confirm time signature changes","Verified","frontend/test-results/ui-control-validation/manual_arrangement_time_signature_edits_beats_unit/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Add Section","Manual Arrangement Entry modal","No","Add a song section definition","Click + Add Section, confirm new section row appears","Verified","frontend/test-results/ui-control-validation/manual_arrangement_add_section_adds_a_row/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Section Type dropdown","Manual Arrangement Entry modal","No","Set section label/type","Change dropdown, Apply, verify section type stored","Verified","frontend/test-results/ui-control-validation/manual_arrangement_entry_section_type_dropdown/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Start Measure","Manual Arrangement Entry modal","No","Set section start measure","Change, verify calculated time updates and arrangement applies","Verified","frontend/test-results/ui-control-validation/manual_arrangement_entry_start_measure/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > # Measures","Manual Arrangement Entry modal","No","Set section length","Change, verify calculated time updates and arrangement applies","Verified","frontend/test-results/ui-control-validation/manual_arrangement_entry_measures/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Different tempo for this section","Manual Arrangement Entry modal","No","Enable per-section tempo override","Toggle, set BPM, Apply, verify override stored","Verified","frontend/test-results/ui-control-validation/manual_arrangement_entry_different_tempo_for_this_section/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Import MIDI Tempo Map (.mid/.midi)","Manual Arrangement Entry modal","No","Select MIDI file for tempo-map import","Choose MIDI file, confirm selection accepted (parsing TODO)","Not yet","","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Cancel","Manual Arrangement Entry modal","No","Close modal without changes","Click Cancel, confirm no arrangement changes","Verified","frontend/test-results/ui-control-validation/ui_manual_arrangement_modal_opens_and_cancels/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Manual Arrangement Entry > Apply Arrangement","Manual Arrangement Entry modal","No","Commit manual arrangement","Click Apply, confirm arrangement applied","Verified","frontend/test-results/ui-control-validation/manual_arrangement_apply_arrangement_updates_sections_bpm/evidence.json","frontend/src/components/ManualArrangementModal.tsx"
"Export > Open Export dialog","DCSM DAW toolbar","No","Opens export options","Click Export, confirm dialog opens","Not yet","","USER_MANUAL.md"
"Export > Mode: Stereo mixdown","Export dialog","No","Queue stereo audio export","Select mode, run export, confirm backend job queued and file produced","Not yet","","USER_MANUAL.md"
"Export > Mode: Stems (multi-track)","Export dialog","No","Queue stem exports","Select mode, run export, confirm stems produced","Not yet","","USER_MANUAL.md"
"Export > Mode: Drums MIDI (articulated, plugin-specific)","Export dialog","No","Export MIDI with articulations mapped to plugin","Select mode, pick plugin, export, confirm `.mid` downloaded","Verified","frontend/test-results/ui-control-validation/v3_ui_export_mid_controls_visible/evidence.json","USER_MANUAL.md"
"Export > Target plugin (Jamstix/SD3/SSD5)","Export dialog","Contextual","Select articulation map target","Change plugin, export, confirm MIDI keyswitch/CC mapping matches selected target","Not yet","","USER_MANUAL.md"
